Nation,Country,Region,Year,CO2 Emissions,Emissions from bunker fuels,Emissions from cement production,Emissions from gas flaring,Emissions from gas fuel consumption,Emissions from liquid fuel consumption,Emissions from solid fuel consumption,Gdp Ppp,Number of Records,Per capita CO2 emissions,Population,Total CO2 emissions from fossil-fuels and cement production
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1976,"1,249",5,30,275,83,862,0,22004574255,1,0.26,5119833,"1,249"
GREECE,GREECE,Europe,1951,"1,249",85,59,0,0,882,309,29333394738,1,0.16,7635277,"1,249"
VIET NAM,VIETNAM,Asia,1931,"1,250",0,0,0,0,0,"1,250",22378798240,1,0,20146281,"1,250"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1975,"1,251",1,25,82,96,866,183,44254749813,1,0.04,30640635,"1,251"
ECUADOR,ECUADOR,South America,1972,"1,253",62,66,86,11,"1,090",0,41882609207,1,0.2,6428707,"1,253"
UNITED KOREA,KOREA,Asia,1934,"1,253",0,30,0,0,0,"1,223",35541913370,1,0,21296563,"1,253"
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,North America,1961,"1,255","1,951",13,0,435,807,0,7000404738,1,1.47,865356,"1,255"
SUDAN,SUDAN,Africa,1995,"1,255",35,53,0,0,"1,202",0,38173259054,1,0.04,24691970,"1,255"
SWITZERLAND,SWITZERLAND,Europe,1919,"1,257",0,0,0,0,0,"1,257",32844452327,1,0,3865690,"1,257"
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1967,"1,257",3,82,0,0,"1,174",1,11675972223,1,0.22,5767478,"1,257"
KENYA,KENYA,Africa,1976,"1,257",363,134,0,0,"1,077",46,22994099040,1,0.09,13995974,"1,257"
BAHRAIN,BAHRAIN,Asia,1949,"1,258",0,0,0,0,"1,258",0,1567045260,1,0,105272,"1,258"
ALGERIA,ALGERIA,Africa,1955,"1,258",606,92,0,0,731,435,49576105550,1,0.13,9829717,"1,258"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1970,"1,259",3,23,86,30,962,159,37914302039,1,0.05,27166045,"1,259"
BRUNEI (DARUSSALAM),BRUNEI,Asia,2005,"1,260",141,36,144,896,184,0,26574297043,1,3.47,361889,"1,260"
NEW ZEALAND,NEW ZEALAND,Australia,1917,"1,260",0,0,0,0,0,"1,260",9957036711,1,0,1236395,"1,260"
BRAZIL,BRAZIL,South America,1923,"1,260",0,0,0,0,0,"1,260",39479312022,1,0,27660862,"1,260"
PANAMA,PANAMA,North America,1996,"1,261","1,834",88,0,32,"1,069",72,23211102595,1,0.46,2794845,"1,261"
BRAZIL,BRAZIL,South America,1934,"1,262",0,44,0,0,0,"1,218",62046024758,1,0,33888997,"1,262"
NORWAY,NORWAY,Europe,1942,"1,263",0,51,0,0,136,"1,075",24171693893,1,0,2971546,"1,263"
TAIWAN,TAIWAN,Asia,1944,"1,264",0,33,0,31,3,"1,197",9812069095,1,0,7837333,"1,264"
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,North America,1967,"1,265","1,323",26,0,796,443,0,8677290940,1,1.37,925918,"1,265"
TURKEY,TURKEY,Asia,1938,"1,265",0,36,0,0,0,"1,228",73894769804,1,0,14930772,"1,265"
COLOMBIA,COLOMBIA,South America,1939,"1,266",0,23,0,271,719,253,23315560911,1,0,8144252,"1,266"
ANGOLA,ANGOLA,Africa,1982,"1,268",329,34,599,47,589,0,30802255567,1,0.15,8807511,"1,268"
ANGOLA,ANGOLA,Africa,1986,"1,271",641,48,646,67,510,0,36330874655,1,0.14,10023700,"1,271"
KENYA,KENYA,Africa,1983,"1,271",225,174,0,0,"1,031",67,32692727406,1,0.07,18241331,"1,271"
BANGLADESH,BANGLADESH,Asia,1974,"1,271",19,12,0,377,769,112,62551933871,1,0.02,69837960,"1,271"
GHANA,GHANA,Africa,1993,"1,272",23,164,0,0,"1,106",2,32249952951,1,0.08,15907244,"1,272"
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1980,"1,273",5,40,102,182,949,1,23464760238,1,0.24,5589572,"1,273"
ROMANIA,ROMANIA,Europe,1919,"1,273",0,0,0,70,717,486,67978845289,1,0,12320811,"1,273"
TURKEY,TURKEY,Asia,1933,"1,273",0,16,0,0,0,"1,257",53857814651,1,0,14930772,"1,273"
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,North America,1972,"1,275",2,92,0,0,"1,182",1,16381854642,1,0.27,4759935,"1,275"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1974,"1,275",1,23,108,55,970,119,42253303330,1,0.04,29916827,"1,275"
PERU,PERU,South America,1927,"1,278",0,0,0,0,"1,160",117,16487534670,1,0,4741538,"1,278"
GUATEMALA,GUATEMALA,North America,1979,"1,280",118,78,0,0,"1,202",0,46768281370,1,0.19,6933492,"1,280"
KENYA,KENYA,Africa,1982,"1,280",246,177,0,0,"1,079",24,32252297736,1,0.07,17559778,"1,280"
REPUBLIC OF KOREA,North Korea,Asia,1953,"1,281",0,6,0,0,275,999,20785372649,1,0.06,9957244,"1,281"
SUDAN,SUDAN,Africa,1998,"1,281",34,27,0,0,"1,254",0,46551033105,1,0.04,26777059,"1,281"
ANGOLA,ANGOLA,Africa,1985,"1,282",650,48,639,60,535,0,35212468103,1,0.14,9745209,"1,282"
VIET NAM,VIETNAM,Asia,1935,"1,285",0,0,0,0,0,"1,285",23065797251,1,0,20146281,"1,285"
NEW ZEALAND,NEW ZEALAND,Australia,1928,"1,287",0,28,0,0,0,"1,260",12900248965,1,0,1236395,"1,287"
ZIMBABWE,ZIMBABWE,Africa,1943,"1,288",0,0,0,0,0,"1,288",2823048182,1,0,2537898,"1,288"
JORDAN,JORDAN,Asia,1980,"1,289",164,124,0,0,"1,165",0,19978859593,1,0.56,2280670,"1,289"
BRAZIL,BRAZIL,South America,1933,"1,289",0,30,0,0,0,"1,259",56853246443,1,0,33888997,"1,289"
PERU,PERU,South America,1926,"1,292",0,0,0,0,"1,168",124,16201253510,1,0,4741538,"1,292"
TUNISIA,TUNISIA,Africa,1972,"1,292",58,85,11,12,"1,087",96,20422948780,1,0.24,5287548,"1,292"
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1979,"1,292",5,34,150,185,921,1,23653030459,1,0.25,5469123,"1,292"
TAIWAN,TAIWAN,Asia,1936,"1,292",0,0,0,29,0,"1,263",12207066289,1,0,7837333,"1,292"
COLOMBIA,COLOMBIA,South America,1944,"1,294",0,38,0,373,510,374,25999949041,1,0,9442173,"1,294"
PORTUGAL,PORTUGAL,Europe,1939,"1,297",0,40,0,0,175,"1,082",24115650022,1,0,6804302,"1,297"
TAIWAN,TAIWAN,Asia,1926,"1,297",0,0,0,0,0,"1,297",8277108527,1,0,7837333,"1,297"
SUDAN,SUDAN,Africa,1992,"1,297",33,34,0,0,"1,263",0,35384925011,1,0.05,21820588,"1,297"
HUNGARY,HUNGARY,Europe,1919,"1,298",0,0,0,0,4,"1,294",34447860420,1,0,7956033,"1,298"
NEW ZEALAND,NEW ZEALAND,Australia,1940,"1,299",0,30,0,0,0,"1,270",17788974405,1,0,1629869,"1,299"
PERU,PERU,South America,1951,"1,303",67,49,0,34,"1,124",96,35732176061,1,0.17,7924206,"1,303"
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,North America,1934,"1,304",0,0,0,0,"1,304",0,1426493363,1,0,412941,"1,304"
PERU,PERU,South America,1925,"1,306",0,0,0,211,"1,021",74,14707694567,1,0,4741538,"1,306"
KENYA,KENYA,Africa,1988,"1,306",150,169,0,0,"1,055",82,41822467448,1,0.06,21899004,"1,306"
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1981,"1,307",5,51,98,184,973,1,23751130067,1,0.24,5711598,"1,307"
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,South Korea,Asia,1954,"1,307",0,68,0,0,111,"1,127",10950697057,1,0.14,20520601,"1,307"
ISRAEL,ISRAEL,Asia,1956,"1,309",14,83,0,0,"1,206",20,10417178018,1,0.73,1796009,"1,309"
ZIMBABWE,ZIMBABWE,Africa,1944,"1,309",0,0,0,0,0,"1,309",2900678691,1,0,2537898,"1,309"
GREECE,GREECE,Europe,1952,"1,310",72,81,0,0,965,265,29557438840,1,0.17,7706022,"1,310"
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,"HONG KONG, CHINA",Asia,1965,"1,311",545,33,0,0,"1,187",90,27096210403,1,0.34,3801814,"1,311"
IRAQ,IRAQ,Asia,1941,"1,312",0,0,0,0,"1,312",0,13505104978,1,0,4608028,"1,312"
NORWAY,NORWAY,Europe,1941,"1,314",0,43,0,0,156,"1,115",25101191175,1,0,2971546,"1,314"
ISRAEL,ISRAEL,Asia,1955,"1,315",13,90,0,0,"1,213",12,9559010750,1,0.77,1718955,"1,315"
TUNISIA,TUNISIA,Africa,1973,"1,317",69,71,9,72,"1,090",75,20216890136,1,0.24,5405354,"1,317"
CHILE,CHILE,South America,1934,"1,318",0,28,0,0,0,"1,291",16729075099,1,0,4309478,"1,318"
KENYA,KENYA,Africa,1991,"1,320",109,194,0,0,"1,030",96,46272642242,1,0.05,24234087,"1,320"
BRUNEI (DARUSSALAM),BRUNEI,Asia,2004,"1,322",143,33,170,885,234,0,26525573046,1,3.71,355700,"1,322"
SUDAN,SUDAN,Africa,1988,"1,322",28,19,0,0,"1,303",0,32170872318,1,0.05,18669146,"1,322"
BRUNEI (DARUSSALAM),BRUNEI,Asia,2002,"1,324",129,33,187,778,327,0,25757195580,1,3.88,343383,"1,324"
SUDAN,SUDAN,Africa,1970,"1,324",24,21,0,0,"1,302",1,21098786832,1,0.09,10232758,"1,324"
NEW ZEALAND,NEW ZEALAND,Australia,1912,"1,327",0,0,0,0,0,"1,327",9817358841,1,0,1236395,"1,327"
NEW ZEALAND,NEW ZEALAND,Australia,1930,"1,328",0,26,0,0,0,"1,302",12780525077,1,0,1491937,"1,328"
BANGLADESH,BANGLADESH,Asia,1975,"1,328",21,23,0,263,913,129,61379265978,1,0.02,71247153,"1,328"
ANGOLA,ANGOLA,Africa,1974,"1,329",240,103,522,36,669,0,36421583050,1,0.21,6923749,"1,329"
BRUNEI (DARUSSALAM),BRUNEI,Asia,2003,"1,330",133,32,200,792,306,0,26448411474,1,3.81,349557,"1,330"
FINLAND,FINLAND,Europe,1939,"1,330",0,77,0,0,218,"1,036",20982151901,1,0,3450505,"1,330"
ANGOLA,ANGOLA,Africa,1973,"1,331",185,105,501,34,685,6,35310900709,1,0.21,6750215,"1,331"
NORWAY,NORWAY,Europe,1944,"1,332",0,44,0,0,135,"1,154",22538235667,1,0,2971546,"1,332"
SRI LANKA,SRI LANKA,Asia,1983,"1,332",257,69,0,0,"1,242",21,44583914600,1,0.08,15727670,"1,332"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1992,"1,333",25,63,3,441,793,33,72106582470,1,0.03,43126260,"1,333"
GREECE,GREECE,Europe,1953,"1,334",118,101,0,0,919,313,33635610910,1,0.17,7779457,"1,334"
NEW ZEALAND,NEW ZEALAND,Australia,1929,"1,336",0,27,0,0,0,"1,309",13359190537,1,0,1236395,"1,336"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1972,"1,336",0,27,114,54,"1,037",104,39848770164,1,0.05,28517289,"1,336"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1976,"1,336",0,32,65,132,988,119,47189249833,1,0.04,31379308,"1,336"
TURKEY,TURKEY,Asia,1939,"1,339",0,39,0,0,0,"1,300",79752099352,1,0,14930772,"1,339"
TAIWAN,TAIWAN,Asia,1951,"1,340",0,53,0,14,221,"1,052",14442794587,1,0.17,8260667,"1,340"
SYRIAN ARAB REPUBLIC,SYRIA,Asia,1966,"1,341",3,84,0,0,"1,254",3,10814150259,1,0.24,5579283,"1,341"
TAIWAN,TAIWAN,Asia,1927,"1,345",0,0,0,0,0,"1,345",8307379938,1,0,7837333,"1,345"
NEW ZEALAND,NEW ZEALAND,Australia,1915,"1,346",0,0,0,0,0,"1,346",10286277404,1,0,1236395,"1,346"
PORTUGAL,PORTUGAL,Europe,1937,"1,346",0,35,0,0,161,"1,151",23639120849,1,0,6804302,"1,346"
FINLAND,FINLAND,Europe,1949,"1,347",0,89,0,0,342,916,27428347093,1,0,3696232,"1,347"
KENYA,KENYA,Africa,1974,"1,350",443,116,0,0,"1,186",48,22186644644,1,0.1,12997447,"1,350"
TURKEY,TURKEY,Asia,1942,"1,350",0,29,0,0,0,"1,321",70368107314,1,0,17777172,"1,350"
COLOMBIA,COLOMBIA,South America,1946,"1,354",0,45,0,339,569,401,29901249881,1,0,9442173,"1,354"
FINLAND,FINLAND,Europe,1936,"1,355",0,45,0,0,57,"1,253",19722795887,1,0,3450505,"1,355"
MONGOLIA,MONGOLIA,Asia,1977,"1,356",0,14,0,0,380,962,4972591242,1,0.87,1562212,"1,356"
KENYA,KENYA,Africa,1975,"1,357",393,122,0,0,"1,202",33,22104064081,1,0.1,13486241,"1,357"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1987,"1,357",0,53,27,585,652,40,73261531658,1,0.04,40005369,"1,357"
BULGARIA,BULGARIA,Europe,1946,"1,358",0,0,0,0,0,"1,358",14309334253,1,0,6672496,"1,358"
SUDAN,SUDAN,Africa,1971,"1,359",22,26,0,0,"1,332",1,22553090802,1,0.09,10568788,"1,359"
ARGENTINA,ARGENTINA,South America,1916,"1,361",0,0,0,4,105,"1,251",33730361950,1,0,8884894,"1,361"
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1989,"1,362",0,69,223,236,834,0,23721052162,1,0.21,6723046,"1,362"
BRUNEI (DARUSSALAM),BRUNEI,Asia,1994,"1,364",114,0,194,717,453,0,20704067194,1,4.84,287423,"1,364"
ALGERIA,ALGERIA,Africa,1956,"1,364",567,89,0,0,795,481,54423313746,1,0.14,10065829,"1,364"
NEW ZEALAND,NEW ZEALAND,Australia,1941,"1,365",0,30,0,0,0,"1,336",17230262926,1,0,1629869,"1,365"
ANGOLA,ANGOLA,Africa,1984,"1,366",475,48,632,60,625,0,34021708480,1,0.16,9444918,"1,366"
ANGOLA,ANGOLA,Africa,1989,"1,366",718,136,666,87,476,0,41199603458,1,0.14,10820992,"1,366"
CHILE,CHILE,South America,1939,"1,367",0,46,0,0,0,"1,321",21795521798,1,0,4309478,"1,367"
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1978,"1,371",6,35,258,176,902,0,23662054425,1,0.27,5350320,"1,371"
CHILE,CHILE,South America,1936,"1,372",0,34,0,0,0,"1,339",18561341792,1,0,4309478,"1,372"
THAILAND,THAILAND,Asia,1962,"1,373",118,131,0,0,"1,201",41,46653016452,1,0.05,29081037,"1,373"
KENYA,KENYA,Africa,1979,"1,374",218,116,0,0,"1,247",12,28389362502,1,0.09,15661414,"1,374"
NEW ZEALAND,NEW ZEALAND,Australia,1916,"1,375",0,0,0,0,0,"1,375",10206461478,1,0,1236395,"1,375"
SRI LANKA,SRI LANKA,Asia,1993,"1,375",349,92,0,0,"1,282",1,67362850118,1,0.08,17929772,"1,375"
GUATEMALA,GUATEMALA,North America,1991,"1,378",0,196,0,4,"1,177",0,52628730065,1,0.15,9385000,"1,378"
KENYA,KENYA,Africa,1977,"1,379",441,156,0,0,"1,177",46,25104491211,1,0.09,14527187,"1,379"
COLOMBIA,COLOMBIA,South America,1947,"1,382",0,47,0,308,661,366,31071874652,1,0,9442173,"1,382"
GHANA,GHANA,Africa,1994,"1,383",23,183,0,0,"1,198",2,33304270326,1,0.08,16339344,"1,383"
NEW ZEALAND,NEW ZEALAND,Australia,1914,"1,387",0,0,0,0,0,"1,387",10236392450,1,0,1236395,"1,387"
GUATEMALA,GUATEMALA,North America,1990,"1,387",0,228,0,5,"1,155",0,51079298194,1,0.16,9158547,"1,387"
GREECE,GREECE,Europe,1954,"1,388",265,116,0,0,904,368,34749843245,1,0.18,7856029,"1,388"
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,North America,1935,"1,389",0,0,0,0,"1,389",0,1481590305,1,0,412941,"1,389"
SUDAN,SUDAN,Africa,1999,"1,389",85,31,0,0,"1,358",0,49925769855,1,0.04,27406808,"1,389"
BRUNEI (DARUSSALAM),BRUNEI,Asia,1995,"1,390",117,0,262,746,381,0,21338400967,1,4.8,295010,"1,390"
NEW ZEALAND,NEW ZEALAND,Australia,1942,"1,391",0,30,0,0,0,"1,362",19125891157,1,0,1629869,"1,391"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1979,"1,391",0,53,120,147,"1,032",39,56613482446,1,0.04,33675835,"1,391"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1971,"1,392",2,27,93,35,"1,073",164,39349326683,1,0.05,27836648,"1,392"
BRAZIL,BRAZIL,South America,1924,"1,393",0,0,0,0,0,"1,393",40122335191,1,0,27660862,"1,393"
CHILE,CHILE,South America,1935,"1,395",0,39,0,0,0,"1,357",17691736266,1,0,4309478,"1,395"
ANGOLA,ANGOLA,Africa,1983,"1,395",380,30,619,54,692,0,32095950741,1,0.16,9128655,"1,395"
ANGOLA,ANGOLA,Africa,1988,"1,399",714,136,661,82,520,0,41040581669,1,0.14,10544904,"1,399"
ZIMBABWE,ZIMBABWE,Africa,1949,"1,400",0,11,0,0,0,"1,389",3322049176,1,0,2537898,"1,400"
COLOMBIA,COLOMBIA,South America,1949,"1,402",0,65,0,270,690,377,34797912238,1,0,9442173,"1,402"
SAUDI ARABIA,SAUDI ARABIA,Asia,1950,"1,403",879,0,0,0,"1,403",0,35679526256,1,0.45,3121336,"1,403"
ROMANIA,ROMANIA,Europe,1915,"1,404",0,0,0,0,"1,330",75,75784413758,1,0,12320811,"1,404"
BRAZIL,BRAZIL,South America,1936,"1,405",0,66,0,0,11,"1,329",71779843051,1,0,33888997,"1,405"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1978,"1,406",0,35,109,143,997,122,53854865851,1,0.04,32895739,"1,406"
REPUBLIC OF KOREA,North Korea,Asia,1954,"1,408",0,8,0,0,290,"1,110",21625741437,1,0.07,9972437,"1,408"
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,"HONG KONG, CHINA",Asia,1966,"1,409",600,34,0,0,"1,298",77,27799154884,1,0.36,3868497,"1,409"
BRUNEI (DARUSSALAM),BRUNEI,Asia,1996,"1,410",118,34,198,771,408,0,22101494544,1,4.75,302449,"1,410"
KENYA,KENYA,Africa,1987,"1,411",197,180,0,0,"1,165",67,39381753025,1,0.07,21140344,"1,411"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1977,"1,411",0,37,115,122,"1,043",94,50242374570,1,0.05,32130696,"1,411"
ISRAEL,ISRAEL,Asia,1957,"1,412",14,98,0,0,"1,294",20,11206841667,1,0.76,1868581,"1,412"
SRI LANKA,SRI LANKA,Asia,1992,"1,414",286,111,0,0,"1,302",1,63211095705,1,0.08,17741793,"1,414"
PERU,PERU,South America,1952,"1,416",61,50,0,34,"1,212",121,37574005720,1,0.18,8128525,"1,416"
VIET NAM,VIETNAM,Asia,1930,"1,416",0,0,0,0,0,"1,416",22210269340,1,0,20146281,"1,416"
KENYA,KENYA,Africa,1989,"1,416",186,165,0,0,"1,155",96,43786049728,1,0.06,22668238,"1,416"
TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,North America,1965,"1,417","1,345",26,0,614,777,1,8063886432,1,1.59,912419,"1,417"
FEDERATION OF MALAYA-SINGAPORE,MALAYSIA+SINGAPORE,Asia,1950,"1,421",42,0,0,0,"1,075",346,23534514379,1,1.39,3140763,"1,421"
ZIMBABWE,ZIMBABWE,Africa,1965,"1,422",0,34,0,0,460,929,7556106729,1,0.32,4422132,"1,422"
BULGARIA,BULGARIA,Europe,1945,"1,422",0,33,0,0,0,"1,389",13018210770,1,0,6672496,"1,422"
ALGERIA,ALGERIA,Africa,1958,"1,424",484,115,0,0,815,494,62906126743,1,0.14,10578453,"1,424"
VIET NAM,VIETNAM,Asia,1928,"1,424",0,0,0,0,0,"1,424",21877009825,1,0,18182468,"1,424"
VENEZUELA,VENEZUELA,South America,1934,"1,426",0,0,0,317,"1,109",0,14929785699,1,0,3562393,"1,426"
VIET NAM,VIETNAM,Asia,1929,"1,428",0,0,0,0,0,"1,428",22043009814,1,0,18182468,"1,428"
SPAIN,SPAIN,Europe,1937,"1,432",0,52,0,71,0,"1,309",80145610766,1,0,23513708,"1,432"
PERU,PERU,South America,1941,"1,433",0,23,0,0,"1,325",85,23198191059,1,0,6506528,"1,433"
TAIWAN,TAIWAN,Asia,1937,"1,433",0,0,0,16,3,"1,414",12378904579,1,0,7837333,"1,433"
PORTUGAL,PORTUGAL,Europe,1948,"1,434",0,68,0,0,491,875,30727037596,1,0,7693201,"1,434"
ECUADOR,ECUADOR,South America,1973,"1,435",86,66,183,18,"1,168",0,47098986035,1,0.22,6611916,"1,435"
CHILE,CHILE,South America,1940,"1,436",0,52,0,0,0,"1,384",22668491881,1,0,5108117,"1,436"
BRUNEI (DARUSSALAM),BRUNEI,Asia,1993,"1,438",87,0,161,756,521,0,20334268705,1,5.24,279717,"1,438"
ANGOLA,ANGOLA,Africa,1981,"1,440",349,34,605,47,754,0,30802255567,1,0.18,8497950,"1,440"
CHILE,CHILE,South America,1937,"1,441",0,43,0,0,0,"1,398",21104565489,1,0,4309478,"1,441"
NORWAY,NORWAY,Europe,1919,"1,444",0,0,0,0,100,"1,344",13258596983,1,0,2634635,"1,444"
ZIMBABWE,ZIMBABWE,Africa,1967,"1,445",0,0,0,0,305,"1,140",7557906834,1,0.31,4718612,"1,445"
PERU,PERU,South America,1940,"1,446",0,17,0,0,"1,347",82,23175589915,1,0,6506528,"1,446"
NORWAY,NORWAY,Europe,1920,"1,447",0,0,0,0,71,"1,376",14155746623,1,0,2634635,"1,447"
KENYA,KENYA,Africa,1978,"1,452",424,153,0,0,"1,262",38,27361693271,1,0.1,15081598,"1,452"
PHILIPPINES,PHILIPPINES,Asia,1954,"1,455",74,42,0,0,"1,376",37,48535183005,1,0.07,21416099,"1,455"
LEBANON,LEBANON,Asia,1971,"1,456",422,204,0,0,"1,249",3,17769113867,1,0.58,2353569,"1,456"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1993,"1,457",3,54,4,544,841,14,74130945058,1,0.04,43642311,"1,457"
ANGOLA,ANGOLA,Africa,1980,"1,458",329,33,659,40,725,0,32219933012,1,0.19,8211950,"1,458"
NIGERIA,NIGERIA,Africa,1963,"1,459",9,72,313,16,670,388,1.82E+11,1,0.03,48128460,"1,459"
BULGARIA,BULGARIA,Europe,1942,"1,460",0,0,0,0,0,"1,460",17512443610,1,0,6672496,"1,460"
BRUNEI (DARUSSALAM),BRUNEI,Asia,1947,"1,461",0,0,0,14,"1,447",0,1421677712,1,0,35616,"1,461"
PORTUGAL,PORTUGAL,Europe,1952,"1,461",102,99,0,0,807,555,33317749597,1,0.17,8473628,"1,461"
BRUNEI (DARUSSALAM),BRUNEI,Asia,1997,"1,462",126,34,197,800,431,0,23006487762,1,4.8,309746,"1,462"
NEW ZEALAND,NEW ZEALAND,Australia,1943,"1,466",0,31,0,0,0,"1,435",19524970785,1,0,1629869,"1,466"
SUDAN,SUDAN,Africa,1972,"1,467",22,22,0,0,"1,445",0,22081982350,1,0.09,10918137,"1,467"
BRAZIL,BRAZIL,South America,1925,"1,467",0,0,0,0,0,"1,467",40104029215,1,0,27660862,"1,467"
PERU,PERU,South America,1928,"1,468",0,7,0,0,"1,333",129,17551671874,1,0,4741538,"1,468"
SUDAN,SUDAN,Africa,1991,"1,469",33,23,0,0,"1,446",0,33717436864,1,0.05,20861117,"1,469"
TUNISIA,TUNISIA,Africa,1974,"1,472",62,73,4,127,"1,151",117,21770880964,1,0.27,5526768,"1,472"
PORTUGAL,PORTUGAL,Europe,1951,"1,473",93,87,0,0,779,606,33244067183,1,0.17,8431207,"1,473"
BAHRAIN,BAHRAIN,Asia,1974,"1,474",657,0,0,"1,035",440,0,8320844945,1,5.88,252139,"1,474"
UNITED KOREA,KOREA,Asia,1935,"1,474",0,63,0,0,0,"1,411",36393294310,1,0,21296563,"1,474"
ANGOLA,ANGOLA,Africa,1978,"1,476",245,54,654,37,731,0,31264058138,1,0.21,7717139,"1,476"
MOROCCO,MOROCCO,Africa,1967,"1,477",121,117,0,6,"1,031",323,36479270620,1,0.1,14978905,"1,477"
SINGAPORE,SINGAPORE,Asia,1968,"1,478","3,595",77,0,0,"1,396",6,16220834891,1,0.74,1998637,"1,478"
SUDAN,SUDAN,Africa,1997,"1,478",35,38,0,0,"1,440",0,44077345500,1,0.05,26149124,"1,478"
SUDAN,SUDAN,Africa,1973,"1,480",24,28,0,0,"1,451",1,20208384000,1,0.09,11283574,"1,480"
ALGERIA,ALGERIA,Africa,1963,"1,480",335,120,0,165,"1,126",69,71287809626,1,0.13,11985130,"1,480"
GHANA,GHANA,Africa,1995,"1,480",24,177,0,0,"1,301",2,34644236093,1,0.09,16760991,"1,480"
CHILE,CHILE,South America,1946,"1,483",0,79,0,0,0,"1,404",28986793374,1,0,5108117,"1,483"
ISLAMIC REPUBLIC OF IRAN,IRAN,Asia,1920,"1,484",0,0,0,0,"1,484",0,26119027430,1,0,11758739,"1,484"
NORWAY,NORWAY,Europe,1943,"1,486",0,42,0,0,131,"1,313",23734876531,1,0,2971546,"1,486"
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,North America,1978,"1,486",1,118,0,0,"1,368",0,23270966304,1,0.27,5543520,"1,486"
NEW ZEALAND,NEW ZEALAND,Australia,1947,"1,488",0,30,0,0,0,"1,458",24333880299,1,0,1629869,"1,488"
FINLAND,FINLAND,Europe,1947,"1,488",0,57,0,0,299,"1,132",23959781799,1,0,3696232,"1,488"
MOROCCO,MOROCCO,Africa,1966,"1,491",109,117,0,7,"1,042",325,34414947674,1,0.11,14617077,"1,491"
NEW ZEALAND,NEW ZEALAND,Australia,1944,"1,493",0,31,0,0,0,"1,462",19604786711,1,0,1629869,"1,493"
TURKEY,TURKEY,Asia,1940,"1,493",0,36,0,0,0,"1,456",74665447715,1,0,17777172,"1,493"
BRAZIL,BRAZIL,South America,1926,"1,495",0,0,0,0,0,"1,495",42167248279,1,0,27660862,"1,495"
ROMANIA,ROMANIA,Europe,1920,"1,497",0,0,0,83,929,485,66156462025,1,0,12320811,"1,497"
BRUNEI (DARUSSALAM),BRUNEI,Asia,1992,"1,501",85,0,312,765,424,0,20227849707,1,5.63,271989,"1,501"
ANGOLA,ANGOLA,Africa,1979,"1,501",274,54,654,37,756,0,31363029847,1,0.2,7952882,"1,501"
NEW ZEALAND,NEW ZEALAND,Australia,1948,"1,502",0,34,0,0,0,"1,469",21919448551,1,0,1629869,"1,502"
BRAZIL,BRAZIL,South America,1935,"1,504",0,50,0,0,2,"1,453",63971141882,1,0,33888997,"1,504"
PERU,PERU,South America,1953,"1,505",55,61,0,34,"1,298",112,39962785533,1,0.18,8340379,"1,505"
BRAZIL,BRAZIL,South America,1930,"1,505",0,12,0,0,0,"1,494",51705073809,1,0,33888997,"1,505"
BAHRAIN,BAHRAIN,Asia,1973,"1,506",869,0,0,839,657,10,7572817847,1,6.32,239860,"1,506"
PLURINATIONAL STATE OF BOLIVIA,BOLIVIA,South America,1990,"1,507",0,76,211,253,967,0,24938791631,1,0.23,6856246,"1,507"
PORTUGAL,PORTUGAL,Europe,1949,"1,507",0,71,0,0,441,995,31154458800,1,0,7693201,"1,507"
SRI LANKA,SRI LANKA,Asia,1994,"1,507",351,126,0,0,"1,379",2,70793976925,1,0.08,18099591,"1,507"
MYANMAR (FORMERLY BURMA),MYANMAR,Asia,1980,"1,507",0,53,134,178,"1,099",42,61475293681,1,0.05,34470694,"1,507"
